param_index,param_value,route_error
0,0.9506743580546089,-0.2231292517006803
1,4.896572317366095,-0.4025862068965517
2,0.9164502862686118,-0.29777954004758117
3,5.3602096022224375,-0.37488748874887484
4,0.26006585605718674,-0.44987468671679204
5,4.216174890248973,-0.21919999999999987
6,0.610371182807489,-0.0544217687074828
7,4.846835450559938,-0.004998437988128705
8,0.9344708302893807,0.1822407045009785
9,7.422021989781238,0.02152641878669273
10,0.40092685679431933,
11,7.7428376990849825,
12,0.538093151773799,
13,4.263227152294872,
14,0.14372836646626402,
15,4.5396351597382765,
16,0.0568952597353774,
17,1.6328153322459933,
18,0.8288443164590251,
19,1.1051328651948567,
