step1,step2,step3,step4,total_duration,from_edge,to_edge
moskovyan_2,teryan_3-,teryan_2-,teryan_1-,209,1254771874#0,138002016#0
moskovyan_2,teryan_3-,teryan_2-,koryun_2-,197,1254771874#0,133342692#0
teryan_4,sayat_nova_6,mesrop_mashtoc_3-,mesrop_mashtoc_2-,271,-422986370#2,133126040#0
teryan_4,sayat_nova_6,mesrop_mashtoc_3-,moskovyan_2,285,-422986370#2,1254771874#0
sayat_nova_6-,sayat_nova_5-,sayat_nova_4-,nalbandyan_4,259,1235147073.116,135474719#0
sayat_nova_6-,sayat_nova_5-,sayat_nova_4-,sayat_nova_3-,221,1235147073.116,177211987#1
sayat_nova_6-,sayat_nova_5-,sayat_nova_4-,nalbandyan_3-,243,1235147073.116,1253188486#8
sayat_nova_6-,teryan_4-,moskovyan_3,moskovyan_4,268,1235147073.116,1341093416#0
sayat_nova_6-,teryan_4-,moskovyan_3,abovyan_4,274,1235147073.116,791826085
sayat_nova_6-,teryan_4-,moskovyan_3,abovyan_3-,256,1235147073.116,409155823
sayat_nova_6-,teryan_4-,teryan_3-,isahakyan_3,262,1235147073.116,380351865#0
