step1,step2,step3,step4,total_duration,from_edge,to_edge
nalbandyan_3-,nalbandyan_2-,isahakyan_1,isahakyan_2,153,1253188486#8,186407685
nalbandyan_3-,nalbandyan_2-,isahakyan_1,abovyan_2-,161,1253188486#8,1091883842
nalbandyan_3-,nalbandyan_2-,isahakyan_1,abovyan_3,293,1253188486#8,186407684#0
nalbandyan_3-,nalbandyan_2-,nalbandyan_1-,heratsi_2,274,1253188486#8,380585336
nalbandyan_3-,nalbandyan_2-,nalbandyan_1-,charents_2-,141,1253188486#8,683079387#1
nalbandyan_3-,khanjyan_1-,sayat_nova_3,sayat_nova_4,247,1253188486#8,1328664744#0
nalbandyan_3-,khanjyan_1-,sayat_nova_2-,sayat_nova_1-,190,1253188486#8,809719540#0
nalbandyan_3-,khanjyan_1-,sayat_nova_2-,alek_manukyan_1-,237,1253188486#8,1254157399#1
nalbandyan_3-,khanjyan_1-,sayat_nova_2-,alek_manukyan_2,239,1253188486#8,186410975#0
nalbandyan_4-,nalbandyan_3-,nalbandyan_2-,isahakyan_1,163,1253188486#4,430416184
nalbandyan_4-,nalbandyan_3-,nalbandyan_2-,nalbandyan_1-,133,1253188486#4,1342963997
nalbandyan_4-,nalbandyan_3-,khanjyan_1-,khanjyan_2-,247,1253188486#4,138000492#0
nalbandyan_4-,nalbandyan_3-,khanjyan_1-,sayat_nova_3,216,1253188486#4,134194079#0
nalbandyan_4-,nalbandyan_3-,khanjyan_1-,sayat_nova_2-,213,1253188486#4,688883939#0
nalbandyan_4-,sayat_nova_3-,sayat_nova_2-,sayat_nova_1-,180,1253188486#4,809719540#0
nalbandyan_4-,sayat_nova_3-,sayat_nova_2-,alek_manukyan_1-,227,1253188486#4,1254157399#1
nalbandyan_4-,sayat_nova_3-,sayat_nova_2-,alek_manukyan_2,229,1253188486#4,186410975#0
nalbandyan_4-,sayat_nova_4,sayat_nova_5-,abovyan_5,238,1253188486#4,134193294#0
nalbandyan_4-,sayat_nova_4,sayat_nova_5-,sayat_nova_4-,234,1253188486#4,1328664748#0
sayat_nova_3-,sayat_nova_2-,sayat_nova_1-,charents_1-,224,177211987#1,-809772643#1
sayat_nova_3-,sayat_nova_2-,sayat_nova_1-,charents_2-,329,177211987#1,683079387#1
sayat_nova_3-,sayat_nova_2-,alek_manukyan_2,heratsi_2,374,177211987#1,380585336
