Origin,Destination,duration,from_edge,to_edge,distance
moskovyan_4,nalbandyan_3,64,1341093416#0,1254519225#0.109,291
moskovyan_4,nalbandyan_2-,40,1341093416#0,1254519229#0,199
sayat_nova_4-,nalbandyan_4,71,1328664748#0,135474719#0,209
sayat_nova_4-,sayat_nova_3-,73,1328664748#0,177211987#1,296
sayat_nova_4-,nalbandyan_3-,69,1328664748#0,1253188486#8,264
nalbandyan_1,nalbandyan_2-,35,186409193,1254519229#0,152
nalbandyan_1,isahakyan_1,54,186409193,430416184,253
nalbandyan_1-,heratsi_2,96,1342963997,380585336,809
nalbandyan_1-,charents_2-,61,1342963997,683079387#1,540
nalbandyan_2,nalbandyan_3,46,189240001,1254519225#0.109,200
nalbandyan_2,khanjyan_1-,35,189240001,799091563#0,170
nalbandyan_2-,isahakyan_1,46,1254519229#0,430416184,210
nalbandyan_2-,nalbandyan_1-,25,1254519229#0,1342963997,151
nalbandyan_3,nalbandyan_4,86,1254519225#0.109,135474719#0,221
nalbandyan_3,sayat_nova_4,95,1254519225#0.109,1328664744#0,261
nalbandyan_3,sayat_nova_3-,102,1254519225#0.109,177211987#1,308
nalbandyan_3-,nalbandyan_2-,36,1253188486#8,1254519229#0,198
nalbandyan_3-,khanjyan_1-,43,1253188486#8,799091563#0,260
nalbandyan_4-,nalbandyan_3-,59,1253188486#4,1253188486#8,223
nalbandyan_4-,sayat_nova_3-,70,1253188486#4,177211987#1,255
nalbandyan_4-,sayat_nova_4,62,1253188486#4,1328664744#0,208
sayat_nova_3-,sayat_nova_2-,66,177211987#1,688883939#0,244
sayat_nova_3-,khanjyan_2-,96,177211987#1,138000492#0,495
sayat_nova_3,sayat_nova_4,78,134194079#0,1328664744#0,293
sayat_nova_3,nalbandyan_3-,79,134194079#0,1253188486#8,308
khanjyan_1-,khanjyan_2-,114,799091563#0,138000492#0,646
khanjyan_1-,sayat_nova_3,100,799091563#0,134194079#0,486
khanjyan_1-,sayat_nova_2-,86,799091563#0,688883939#0,394
khanjyan_1,nalbandyan_2-,42,189240000#0-AddedOnRampEdge,1254519229#0,161
khanjyan_1,nalbandyan_3,63,189240000#0-AddedOnRampEdge,1254519225#0.109,253
heratsi_1,heratsi_2,68,138000461,380585336,837
heratsi_1-,khanjyan_2-,44,-138000461,138000492#0,626
heratsi_1-,khanjyan_1,23,-138000461,189240000#0-AddedOnRampEdge,102
heratsi_2-,koryun_1,46,134133272,380585338#0,347
heratsi_2-,charents_2-,97,134133272,683079387#1,853
heratsi_2-,heratsi_1-,60,134133272,-138000461,810
sayat_nova_2,sayat_nova_3,64,714011134#0,134194079#0,245
sayat_nova_2,khanjyan_1,87,714011134#0,189240000#0-AddedOnRampEdge,402
sayat_nova_2,khanjyan_2-,86,714011134#0,138000492#0,405
sayat_nova_2-,sayat_nova_1-,41,688883939#0,809719540#0,210
sayat_nova_2-,alek_manukyan_1-,72,688883939#0,1254157399#1,380
sayat_nova_2-,alek_manukyan_2,68,688883939#0,186410975#0,320
sayat_nova_1,sayat_nova_2,46,1310781056,714011134#0,210
sayat_nova_1,alek_manukyan_2,78,1310781056,186410975#0,402
sayat_nova_1,alek_manukyan_1-,88,1310781056,1254157399#1,463
sayat_nova_1-,charents_1-,100,809719540#0,-809772643#1,731
sayat_nova_1-,charents_2-,179,809719540#0,683079387#1,1102
charents_1,charents_2,127,1253222187#0,683079388#0,1110
charents_1,sayat_nova_1,114,1253222187#0,1310781056,752
charents_2,koryun_1,91,683079388#0,380585338#0,692
charents_2,heratsi_2,81,683079388#0,380585336,839
charents_2-,charents_1-,131,683079387#1,-809772643#1,1110
charents_2-,sayat_nova_1,90,683079387#1,1310781056,673
alek_manukyan_2,heratsi_2,104,186410975#0,380585336,913
alek_manukyan_2,isahakyan_1,111,186410975#0,430416184,505
alek_manukyan_2,charents_2-,101,186410975#0,683079387#1,700
alek_manukyan_1,alek_manukyan_2,112,31861355#0,186410975#0,572
alek_manukyan_1,sayat_nova_2,83,31861355#0,714011134#0,380
alek_manukyan_1,sayat_nova_1-,89,31861355#0,809719540#0,462
