1,632031937,3,5.0
1,GS_10852700972,0,39.0
1,GS_11644940310,3,6.0
1,GS_cluster_11644940326_11644940327_11648561426,5,6.0
1,GS_cluster_11648745684_256036885_3839031483,1,5.0
1,GS_cluster_1342409365_3839031467,2,40.0
1,GS_cluster_3839031475_3839031476_4110471700_4234582615,4,36.0
1,GS_cluster_4854142864_4854142865,2,41.0
1,cluster_1141265322_11869698130_256036890_4227138136_#4more,1,4.0
1,cluster_11644940323_11644940324_3828703845,1,6.0
1,cluster_11648561419_11648561420_2271142975_4854142869,0,39.0
1,cluster_11657899598_353811979_6712514804,2,39.0
1,cluster_1507433914_2954854770_2954854771_2954854772_#9more,6,4.0
1,cluster_2271368471_4779869278,4,34.0
1,cluster_356722183_3828703848,0,25.0
1,cluster_4110471701_632031939,2,40.0
1,cluster_632025881_6712514801_6712514802_6712514803,3,4.0
2,632031937,2,40.0
2,GS_10852700972,0,39.0
2,GS_11644940310,0,39.0
2,GS_cluster_11644940326_11644940327_11648561426,0,24.0
2,GS_cluster_11648745684_256036885_3839031483,1,5.0
2,GS_cluster_1342409365_3839031467,0,40.0
2,GS_cluster_3839031475_3839031476_4110471700_4234582615,1,4.0
2,GS_cluster_4854142864_4854142865,2,41.0
2,cluster_1141265322_11869698130_256036890_4227138136_#4more,4,36.0
2,cluster_11644940323_11644940324_3828703845,3,6.0
2,cluster_11648561419_11648561420_2271142975_4854142869,3,6.0
2,cluster_11657899598_353811979_6712514804,1,6.0
2,cluster_1507433914_2954854770_2954854771_2954854772_#9more,0,35.0
2,cluster_2271368471_4779869278,5,5.0
2,cluster_356722183_3828703848,1,5.0
2,cluster_4110471701_632031939,1,5.0
2,cluster_632025881_6712514801_6712514802_6712514803,3,4.0
3,632031937,3,5.0
3,GS_10852700972,2,39.0
3,GS_11644940310,0,39.0
3,GS_cluster_11644940326_11644940327_11648561426,3,6.0
3,GS_cluster_11648745684_256036885_3839031483,3,5.0
3,GS_cluster_1342409365_3839031467,0,40.0
3,GS_cluster_3839031475_3839031476_4110471700_4234582615,3,4.0
3,GS_cluster_4854142864_4854142865,1,4.0
3,cluster_1141265322_11869698130_256036890_4227138136_#4more,4,36.0
3,cluster_11644940323_11644940324_3828703845,1,6.0
3,cluster_11648561419_11648561420_2271142975_4854142869,3,6.0
3,cluster_11657899598_353811979_6712514804,0,39.0
3,cluster_1507433914_2954854770_2954854771_2954854772_#9more,4,4.0
3,cluster_2271368471_4779869278,2,6.0
3,cluster_356722183_3828703848,5,5.0
3,cluster_4110471701_632031939,0,40.0
3,cluster_632025881_6712514801_6712514802_6712514803,7,4.0
4,632031937,1,5.0
4,GS_10852700972,0,39.0
4,GS_11644940310,1,6.0
4,GS_cluster_11644940326_11644940327_11648561426,0,24.0
4,GS_cluster_11648745684_256036885_3839031483,5,5.0
4,GS_cluster_1342409365_3839031467,0,40.0
4,GS_cluster_3839031475_3839031476_4110471700_4234582615,5,4.0
4,GS_cluster_4854142864_4854142865,3,4.0
4,cluster_1141265322_11869698130_256036890_4227138136_#4more,0,36.0
4,cluster_11644940323_11644940324_3828703845,2,39.0
4,cluster_11648561419_11648561420_2271142975_4854142869,2,39.0
4,cluster_11657899598_353811979_6712514804,1,6.0
4,cluster_1507433914_2954854770_2954854771_2954854772_#9more,5,6.0
4,cluster_2271368471_4779869278,2,6.0
4,cluster_356722183_3828703848,1,5.0
4,cluster_4110471701_632031939,1,5.0
4,cluster_632025881_6712514801_6712514802_6712514803,2,6.0
5,632031937,0,40.0
5,GS_10852700972,2,39.0
5,GS_11644940310,3,6.0
5,GS_cluster_11644940326_11644940327_11648561426,4,24.0
