Origin,Destination,Distance_m,Duration_s
baghramyan_1-,moskovyan_2,411,113
baghramyan_1-,mesrop_mashtoc_2-,343,100
baghramyan_1-,mesrop_mashtoc_2-,343,100
baghramyan_1-,moskovyan_2,411,113
baghramyan_1-,mesrop_mashtoc_1-,523,129
baghramyan_1-,sayat_nova_6-,230,55
baghramyan_1-,sayat_nova_6-,230,55
baghramyan_1-,mesrop_mashtoc_3-,213,64
baghramyan_1-,baghramyan_1,519,159
baghramyan_1-,mesrop_mashtoc_3,757,242
baghramyan_1-,moskovyan_2,411,113
baghramyan_1-,mesrop_mashtoc_2-,343,100
baghramyan_1-,mesrop_mashtoc_2-,343,100
baghramyan_1-,moskovyan_2,411,113
baghramyan_1-,mesrop_mashtoc_1-,523,129
mesrop_mashtoc_4-,sayat_nova_6-,224,46
mesrop_mashtoc_4-,sayat_nova_6-,224,46
mesrop_mashtoc_4-,mesrop_mashtoc_3-,226,61
mesrop_mashtoc_4-,baghramyan_1,249,63
mesrop_mashtoc_4-,mesrop_mashtoc_3,551,152
mesrop_mashtoc_4-,moskovyan_2,424,110
mesrop_mashtoc_4-,mesrop_mashtoc_2-,356,97
mesrop_mashtoc_4-,mesrop_mashtoc_2-,356,97
mesrop_mashtoc_4-,moskovyan_2,424,110
mesrop_mashtoc_4-,mesrop_mashtoc_1-,536,127
moskovyan_1,sayat_nova_6-,388,126
moskovyan_1,sayat_nova_6-,388,126
moskovyan_1,mesrop_mashtoc_3-,643,227
moskovyan_1,baghramyan_1,295,82
moskovyan_1,mesrop_mashtoc_3,159,45
moskovyan_1,moskovyan_2,235,48
moskovyan_1,mesrop_mashtoc_2-,166,38
moskovyan_1,mesrop_mashtoc_2-,166,38
moskovyan_1,moskovyan_2,235,48
moskovyan_1,mesrop_mashtoc_1-,347,67
moskovyan_1,sayat_nova_6-,388,126
moskovyan_1,sayat_nova_6-,388,126
moskovyan_1,mesrop_mashtoc_3-,643,227
moskovyan_1,baghramyan_1,295,82
moskovyan_1,mesrop_mashtoc_3,159,45
moskovyan_1,moskovyan_2,235,48
moskovyan_1,mesrop_mashtoc_2-,166,38
moskovyan_1,mesrop_mashtoc_2-,166,38
moskovyan_1,moskovyan_2,235,48
moskovyan_1,mesrop_mashtoc_1-,347,67
moskovyan_1,sayat_nova_6-,388,126
moskovyan_1,sayat_nova_6-,388,126
moskovyan_1,mesrop_mashtoc_3-,643,227
moskovyan_1,baghramyan_1,295,82
moskovyan_1,mesrop_mashtoc_3,159,45
moskovyan_1,moskovyan_2,235,48
moskovyan_1,mesrop_mashtoc_2-,166,38
moskovyan_1,mesrop_mashtoc_2-,166,38
moskovyan_1,moskovyan_2,235,48
moskovyan_1,mesrop_mashtoc_1-,347,67
mesrop_mashtoc_3-,sayat_nova_6-,1206,318
mesrop_mashtoc_3-,sayat_nova_6-,1206,318
mesrop_mashtoc_3-,mesrop_mashtoc_3-,0,0
mesrop_mashtoc_3-,baghramyan_1,1113,274
mesrop_mashtoc_3-,mesrop_mashtoc_3,977,237
mesrop_mashtoc_3-,moskovyan_2,198,49
mesrop_mashtoc_3-,mesrop_mashtoc_2-,130,36
mesrop_mashtoc_3-,mesrop_mashtoc_2-,130,36
mesrop_mashtoc_3-,moskovyan_2,198,49
mesrop_mashtoc_3-,mesrop_mashtoc_1-,310,66
mesrop_mashtoc_3-,sayat_nova_6-,1206,318
mesrop_mashtoc_3-,sayat_nova_6-,1206,318
mesrop_mashtoc_3-,mesrop_mashtoc_3-,0,0
mesrop_mashtoc_3-,baghramyan_1,1113,274
mesrop_mashtoc_3-,mesrop_mashtoc_3,977,237
mesrop_mashtoc_3-,moskovyan_2,198,49
mesrop_mashtoc_3-,mesrop_mashtoc_2-,130,36
mesrop_mashtoc_3-,mesrop_mashtoc_2-,130,36
mesrop_mashtoc_3-,moskovyan_2,198,49
mesrop_mashtoc_3-,mesrop_mashtoc_1-,310,66
mesrop_mashtoc_2-,sayat_nova_6-,1165,259
mesrop_mashtoc_2-,sayat_nova_6-,1165,259
mesrop_mashtoc_2-,mesrop_mashtoc_3-,2010,364
mesrop_mashtoc_2-,baghramyan_1,1072,214
mesrop_mashtoc_2-,mesrop_mashtoc_3,936,177
mesrop_mashtoc_2-,moskovyan_2,1012,188
mesrop_mashtoc_2-,mesrop_mashtoc_2-,0,0
mesrop_mashtoc_2-,mesrop_mashtoc_2-,0,0
mesrop_mashtoc_2-,moskovyan_2,1012,188
mesrop_mashtoc_2-,mesrop_mashtoc_1-,180,29
mesrop_mashtoc_2-,isahakyan_4,237,61
mesrop_mashtoc_2-,koryun_3-,424,61
mesrop_mashtoc_2-,mesrop_mashtoc_1,611,95
mesrop_mashtoc_2-,baghramyan_1,1072,214
mesrop_mashtoc_2-,mesrop_mashtoc_4,1153,229
mesrop_mashtoc_2-,mesrop_mashtoc_3-,2010,364
mesrop_mashtoc_2-,moskovyan_3,975,221
mesrop_mashtoc_2-,teryan_4,1024,227
mesrop_mashtoc_2-,teryan_3-,818,183
mesrop_mashtoc_2-,teryan_5,1297,310
mesrop_mashtoc_1-,isahakyan_4,722,133
mesrop_mashtoc_1-,koryun_3-,244,32
mesrop_mashtoc_1-,mesrop_mashtoc_1,430,66
mesrop_mashtoc_1-,baghramyan_1,891,185
mesrop_mashtoc_1-,mesrop_mashtoc_4,973,200
mesrop_mashtoc_1-,mesrop_mashtoc_3-,1383,369
mesrop_mashtoc_1-,moskovyan_3,794,192
mesrop_mashtoc_1-,teryan_4,843,198
mesrop_mashtoc_1-,teryan_3-,638,154
mesrop_mashtoc_1-,teryan_5,1117,281
koryun_3,isahakyan_4,540,99
koryun_3,koryun_3-,730,183
koryun_3,mesrop_mashtoc_1,249,32
koryun_3,baghramyan_1,710,151
koryun_3,mesrop_mashtoc_4,791,166
koryun_3,mesrop_mashtoc_3-,1058,296
koryun_3,moskovyan_3,921,177
koryun_3,teryan_4,970,193
koryun_3,teryan_3-,872,172
koryun_3,teryan_5,1244,276
sayat_nova_6,isahakyan_4,564,173
sayat_nova_6,koryun_3-,751,173
sayat_nova_6,mesrop_mashtoc_1,937,207
sayat_nova_6,baghramyan_1,232,79
sayat_nova_6,mesrop_mashtoc_4,298,81
sayat_nova_6,mesrop_mashtoc_3-,197,75
sayat_nova_6,moskovyan_3,667,177
sayat_nova_6,teryan_4,716,193
sayat_nova_6,teryan_3-,618,172
sayat_nova_6,teryan_5,569,232
sayat_nova_6,isahakyan_4,564,173
sayat_nova_6,koryun_3-,751,173
sayat_nova_6,mesrop_mashtoc_1,937,207
sayat_nova_6,baghramyan_1,232,79
sayat_nova_6,mesrop_mashtoc_4,298,81
sayat_nova_6,mesrop_mashtoc_3-,197,75
sayat_nova_6,moskovyan_3,667,177
sayat_nova_6,teryan_4,716,193
sayat_nova_6,teryan_3-,618,172
sayat_nova_6,teryan_5,569,232
sayat_nova_6,isahakyan_4,564,173
sayat_nova_6,koryun_3-,751,173
sayat_nova_6,mesrop_mashtoc_1,937,207
sayat_nova_6,baghramyan_1,232,79
sayat_nova_6,mesrop_mashtoc_4,298,81
sayat_nova_6,mesrop_mashtoc_3-,197,75
sayat_nova_6,moskovyan_3,667,177
sayat_nova_6,teryan_4,716,193
sayat_nova_6,teryan_3-,618,172
sayat_nova_6,teryan_5,569,232
moskovyan_2,isahakyan_4,745,176
moskovyan_2,koryun_3-,932,187
