Origin,Destination,Direction
sayat_nova_2,sayat_nova_3,Straight
sayat_nova_2,khanjyan_1,Right
sayat_nova_2,khanjyan_2-,Left
sayat_nova_2-,sayat_nova_1-,Straight
sayat_nova_2-,alek_manukyan_1-,Right
sayat_nova_2-,alek_manukyan_2,Left
sayat_nova_1,sayat_nova_2,Straight
sayat_nova_1,alek_manukyan_2,Right
sayat_nova_1,alek_manukyan_1-,Left
sayat_nova_1-,charents_1-,Right
sayat_nova_1-,charents_2-,Left
charents_1,charents_2,Straight
charents_1,sayat_nova_1,Left
charents_2,koryun_0,Straight
charents_2,heratsi_2,Right
charents_2-,charents_1-,Straight
charents_2-,sayat_nova_1,Right
alek_manukyan_2,heratsi_2,Left
alek_manukyan_2,isahakyan_1,Straight
alek_manukyan_2,charents_2-,Right
alek_manukyan_1,alek_manukyan_2,Straight
alek_manukyan_1,sayat_nova_2,Left
alek_manukyan_1,sayat_nova_1-,Right
khanjyan_2,khanjyan_1,Straight
khanjyan_2,heratsi_1,Straight
