tls_id,rl_duration,rl_waiting,static_duration,static_waiting,improvement_duration,improvement_waiting,percentage_improvement_duration,percentage_improvement_waiting
11644940310,72.04264932290415,35.29377842047729,49.524658217755544,13.971254070178986,-22.51799110514861,-21.322524350298302,-45.46824130746949,-152.6171111282721
632031937,66.34858134920634,32.11577182539682,58.27838951545531,21.04899107142857,-8.070191833751032,-11.06678075396825,-13.847657598037836,-52.576300291133904
GS_cluster_1342409365_3839031467,94.96983550776191,14.1191494674305,106.1089255517065,20.480968188068804,11.139090043944591,6.361818720638304,10.497787990998507,31.06209951707451
GS_cluster_4854142864_4854142865,89.73773945887862,42.32825542354127,98.851829321226,49.61107061229605,9.114089862347384,7.282815188754775,9.219950632102625,14.679818634975671
J7,68.64847085920265,20.482279195467914,64.7721062888202,18.747340924768,-3.8763645703824494,-1.7349382706999137,-5.984620220774754,-9.25431653300658
cluster10852700972_12154751993,41.19171890964823,10.364843362282878,38.8553633072699,7.873233985397272,-2.336355602378333,-2.491609376885606,-6.012955235812188,-31.64658108100013
cluster3828547534_cluster_1507433914_2954854770_2954854771_2954854772_#9more,75.06835673987337,39.47337971896283,71.47173042699293,35.24836503553543,-3.5966263128804314,-4.225014683427403,-5.032236230175397,-11.986413211415565
cluster3839130731_cluster_11644940326_11644940327_11648561426,61.919015006080144,22.06713840754299,61.06062296771703,21.07381965246907,-0.8583920383631138,-0.993318755073922,-1.4058029490084776,-4.713520241963074
cluster7571105647_7571105653_cluster_1141265322_11869698130_256036890_4227138136_#4more,73.60018421393421,15.243074932012433,72.40372050580308,12.253565623944613,-1.1964637081311338,-2.98950930806782,-1.652489264049958,-24.397056332942302
cluster_11644940323_11644940324_3828703845,44.275842519772674,15.961441111100052,34.04052783208566,6.293488871959514,-10.235314687687016,-9.667952239140538,-30.068025790244917,-153.61832579407366
cluster_11648561419_11648561420_2271142975_4854142869,100.91691355280895,60.759059899334844,80.24171593592921,39.95798161965977,-20.675197616879743,-20.801078279675075,-25.76614592014497,-52.057379868858824
cluster_11648561428_407729599,49.75275783475784,14.534783882783884,52.092415919691845,13.936388013915302,2.3396580849340083,-0.5983958688685824,4.491360294252693,-4.293765847155604
cluster_11648745684_256036885_3839031483,78.53166598366329,41.12203665557549,65.9664360244584,28.101349527605926,-12.565229959204885,-13.020687127969566,-19.047913933907342,-46.33473960095202
cluster_11657899598_353811979_6712514804,65.28464967877603,12.790394027269027,65.27988559291781,13.536232179780907,-0.004764085858226963,0.7458381525118796,-0.007297938430737411,5.50993912195108
cluster_2271368471_4779869278,69.45131669916645,30.791717180939532,73.46648468059963,35.075176045673814,4.01516798143318,4.283458864734282,5.465305708976531,12.212223423074182
cluster_356722183_3828703848,55.66044303061574,18.697886147726884,46.99305086049387,11.173151706440738,-8.667392170121872,-7.524734441286146,-18.443986954267697,-67.34657005461163
cluster_3839031475_3839031476_4110471700_4234582615,70.20076227618038,32.58568396900717,60.91547060341522,22.394136432233587,-9.285291672765162,-10.191547536773584,-15.242912154805847,-45.50989303657234
cluster_4110471701_632031939,49.30191104391834,12.263186190080896,59.2695670151211,17.311871185924737,9.96765597120276,5.048684995843841,16.81749415962457,29.163138644126636
